Question Number,Question (English),Question (Hindi),Option A (English),Option A (Hindi),Option B (English),Option B (Hindi),Option C (English),Option C (Hindi),Option D (English),Option D (Hindi),Correct Answer (English),Correct Answer (Hindi)
1,"Profiling is not done to detect the following:-","निम्नलिखित का पता लगाने के लिए प्रोफाइलिंग नहीं की जाती है","Terrorist with intend to harm the airline","एयरलाइन को नुकसान पहुंचाने के इरादे से आतंकवादी","Criminal","आपराधिक","Celebrities","हस्तियाँ","Trafficking of drugs","नशीले पदार्थों की तस्करी","Celebrities","हस्तियाँ"
2,"What should not be the course of action if we notice suspicious sign during profiling?","यदि हम प्रोफाइलिंग के दौरान संदिग्ध संकेत देखते हैं तो क्या कार्रवाई नहीं होनी चाहिए?","Inform supervisor","पर्यवेक्षक को सूचित करें","Increase surveillance","निगरानी बढ़ाएँ","Ignore and carry out regular security procedure","ध्यान न दें और नियमित सुरक्षा प्रक्रिया अपनाएं","Ensure that he has cleared all security points","सुनिश्चित करें कि उसने सभी सुरक्षा बिंदुओं को मंजूरी दे दी है","Ignore and carry out regular security procedure","ध्यान न दें और नियमित सुरक्षा प्रक्रिया अपनाएं"
3,"When a suspected device is discovered by a searcher during search what should he do?","खोज के दौरान खोजकर्ता द्वारा संदिग्ध उपकरण मिलने पर उसे क्या करना चाहिए?","Announce that search is over","घोषणा करें कि खोज समाप्त हो गई है","Continue the search for secondary device","द्वितीयक उपकरण की खोज जारी रखें","Search should be conducted after a break","एक ब्रेक के बाद खोज की जानी चाहिए","Leave the search area","खोज क्षेत्र छोड़ दें","Continue the search for secondary device","द्वितीयक उपकरण की खोज जारी रखें"
4,"If the warning receive indicates the possible detonation time what will be your best and safest action?","यदि चेतावनी प्राप्त होने से संभावित विस्फोट समय का संकेत मिलता है तो आपकी सबसे अच्छी और सुरक्षित कार्रवाई क्या होगी?","Evacuate all personnel and wait BDDS team","सभी कर्मियों को बाहर निकालें और बीडीडीएस टीम की प्रतीक्षा करें","Wait for BDDS team, who will evacuate the area","बीडीडीएस टीम की प्रतीक्षा करें, जो क्षेत्र को खाली कर देगी","Only BDDS is the authority who will solve this situation","केवल बीडीडीएस ही वह प्राधिकरण है जो इस स्थिति का समाधान करेगा","Any agency working at the airport can deal this situation","एयरपोर्ट पर काम करने वाली कोई भी एजेंसी इस स्थिति से निपट सकती है","Evacuate all personnel and wait BDDS team","सभी कर्मियों को बाहर निकालें और बीडीडीएस टीम की प्रतीक्षा करें"
5,"Air cargo may be transported as","एयर कार्गो को इस रूप में ले जाया जा सकता है","On passenger aircraft","यात्री विमानों पर","Cargo aircraft","यात्री विमानों पर","Both of the above","ऊपर के दोनों","Military aircraft","सैन्य विमान","Both of the above","ऊपर के दोनों"
6,"Cargo is highly vulnerable in nature. What cannot be the reason behind this?","कार्गो प्रकृति में अत्यधिक संवेदनशील है। इसके पीछे क्या कारण नहीं हो सकता है?","Volume carried increasing","मात्रा बढ़ती चली गई","Cargo system is well known","कार्गो प्रणाली सर्वविदित है","Difficult to screen","स्क्रीन करना मुश्किल","Cargo is mainly used for business purpose","कार्गो का उपयोग मुख्य रूप से व्यावसायिक उद्देश्य के लिए किया जाता है","Cargo is mainly used for business purpose","कार्गो का उपयोग मुख्य रूप से व्यावसायिक उद्देश्य के लिए किया जाता है"
7,"Exemption from security screening of consignment","छूट सुरक्षा जांच खेप","Should have permission from appropriate authority","उपयुक्त प्राधिकारी से अनुमति होनी चाहिए","Should not be tampered anywhere","छेड़छाड़ नहीं की जानी चाहिए","Protect from unlawful Interference","अवैध हस्तक्षेप से रक्षा करें","Route for bringing the cargo","माल लाने का मार्ग","Should have permission from appropriate authority","उपयुक्त प्राधिकारी से अनुमति होनी चाहिए"
8,"Guideline has been given by the regulatory authority for the security of high value goods. Out of the below mentioned measures which is not the security measures for high value goods?","उच्च मूल्य के सामान की सुरक्षा के लिए नियामकीय प्राधिकरण द्वारा दिशा-निर्देश दिया गया है। नीचे दिए गए उपायों में से कौन सा उपाय उच्च मूल्य के सामान के लिए सुरक्षा उपाय नहीं है?","Security check as for other cargo","अन्य कार्गो के लिए सुरक्षा जांच","Stored in strong room","स्ट्रांग रूम में रखा गया है","Escort","अनुरक्षण","Keep It In a nationalised banks locker","इसे राष्ट्रीयकृत बैंकों के लॉकर में रखें","Keep It In a nationalised banks locker","इसे राष्ट्रीयकृत बैंकों के लॉकर में रखें"
9,"In which of the following condition cargo should be send for physical check","निम्नलिखित में से किस स्थिति में भौतिक जांच के लिए कार्गो भेजा जाना चाहिए","If image is clear","अगर तस्वीर साफ है","If image is matching with the declaration","अगर छवि घोषणा के साथ मेल खा रही है","For random physical check that Is 5%","यादृच्छिक भौतिक जांच के लिए अर्थात 5%","After cooling off of the cargo","कार्गो के ठंडा होने के बाद","For random physical check that Is 5%","यादृच्छिक भौतिक जांच के लिए अर्थात 5%"
10,"Known cargo is the cargo","ज्ञात कार्गो कार्गो है","Of a known consignor","किसी ज्ञात मालवाहक का","Secured according to ICAO standard 4.3.8","आईसीएओ मानक 4.3.8 के अनुसार सुरक्षित","Protected from unauthorised access","अनधिकृत पहुंच से सुरक्षित","Sent by agent","","Of a known consignor","किसी ज्ञात मालवाहक का"
